rownumber;Date;Day;Month;Year
86;2000-03-26;26;3;2000
87;2000-03-27;27;3;2000
88;2000-03-28;28;3;2000
89;2000-03-29;29;3;2000
90;2000-03-30;30;3;2000
91;2000-03-31;31;3;2000
92;2000-04-01;1;4;2000
93;2000-04-02;2;4;2000
94;2000-04-03;3;4;2000
95;2000-04-04;4;4;2000
96;2000-04-05;5;4;2000
97;2000-04-06;6;4;2000
98;2000-04-07;7;4;2000
99;2000-04-08;8;4;2000
100;2000-04-09;9;4;2000
101;2000-04-10;10;4;2000
102;2000-04-11;11;4;2000
103;2000-04-12;12;4;2000
104;2000-04-13;13;4;2000
105;2000-04-14;14;4;2000
106;2000-04-15;15;4;2000
107;2000-04-16;16;4;2000
108;2000-04-17;17;4;2000
109;2000-04-18;18;4;2000
110;2000-04-19;19;4;2000
111;2000-04-20;20;4;2000
112;2000-04-21;21;4;2000
113;2000-04-22;22;4;2000
114;2000-04-23;23;4;2000
115;2000-04-24;24;4;2000
116;2000-04-25;25;4;2000
117;2000-04-26;26;4;2000
118;2000-04-27;27;4;2000
119;2000-04-28;28;4;2000
120;2000-04-29;29;4;2000
121;2000-04-30;30;4;2000
122;2000-05-01;1;5;2000
123;2000-05-02;2;5;2000
124;2000-05-03;3;5;2000
125;2000-05-04;4;5;2000
126;2000-05-05;5;5;2000
127;2000-05-06;6;5;2000
128;2000-05-07;7;5;2000
129;2000-05-08;8;5;2000
130;2000-05-09;9;5;2000
131;2000-05-10;10;5;2000
132;2000-05-11;11;5;2000
133;2000-05-12;12;5;2000
134;2000-05-13;13;5;2000
135;2000-05-14;14;5;2000
136;2000-05-15;15;5;2000
137;2000-05-16;16;5;2000
138;2000-05-17;17;5;2000
139;2000-05-18;18;5;2000
140;2000-05-19;19;5;2000
141;2000-05-20;20;5;2000
142;2000-05-21;21;5;2000
143;2000-05-22;22;5;2000
144;2000-05-23;23;5;2000
145;2000-05-24;24;5;2000
146;2000-05-25;25;5;2000
147;2000-05-26;26;5;2000
148;2000-05-27;27;5;2000
149;2000-05-28;28;5;2000
150;2000-05-29;29;5;2000
151;2000-05-30;30;5;2000
152;2000-05-31;31;5;2000
153;2000-06-01;1;6;2000
154;2000-06-02;2;6;2000
155;2000-06-03;3;6;2000
156;2000-06-04;4;6;2000
157;2000-06-05;5;6;2000
158;2000-06-06;6;6;2000
159;2000-06-07;7;6;2000
160;2000-06-08;8;6;2000
161;2000-06-09;9;6;2000
162;2000-06-10;10;6;2000
163;2000-06-11;11;6;2000
164;2000-06-12;12;6;2000
165;2000-06-13;13;6;2000
166;2000-06-14;14;6;2000
167;2000-06-15;15;6;2000
168;2000-06-16;16;6;2000
169;2000-06-17;17;6;2000
170;2000-06-18;18;6;2000
171;2000-06-19;19;6;2000
172;2000-06-20;20;6;2000
173;2000-06-21;21;6;2000
174;2000-06-22;22;6;2000
175;2000-06-23;23;6;2000
176;2000-06-24;24;6;2000
177;2000-06-25;25;6;2000
178;2000-06-26;26;6;2000
179;2000-06-27;27;6;2000
180;2000-06-28;28;6;2000
181;2000-06-29;29;6;2000
182;2000-06-30;30;6;2000
183;2000-07-01;1;7;2000
184;2000-07-02;2;7;2000
185;2000-07-03;3;7;2000
186;2000-07-04;4;7;2000
187;2000-07-05;5;7;2000
188;2000-07-06;6;7;2000
189;2000-07-07;7;7;2000
190;2000-07-08;8;7;2000
191;2000-07-09;9;7;2000
192;2000-07-10;10;7;2000
193;2000-07-11;11;7;2000
194;2000-07-12;12;7;2000
195;2000-07-13;13;7;2000
196;2000-07-14;14;7;2000
197;2000-07-15;15;7;2000
198;2000-07-16;16;7;2000
199;2000-07-17;17;7;2000
200;2000-07-18;18;7;2000
201;2000-07-19;19;7;2000
202;2000-07-20;20;7;2000
203;2000-07-21;21;7;2000
204;2000-07-22;22;7;2000
205;2000-07-23;23;7;2000
206;2000-07-24;24;7;2000
207;2000-07-25;25;7;2000
208;2000-07-26;26;7;2000
209;2000-07-27;27;7;2000
210;2000-07-28;28;7;2000
211;2000-07-29;29;7;2000
212;2000-07-30;30;7;2000
213;2000-07-31;31;7;2000
214;2000-08-01;1;8;2000
215;2000-08-02;2;8;2000
216;2000-08-03;3;8;2000
217;2000-08-04;4;8;2000
218;2000-08-05;5;8;2000
219;2000-08-06;6;8;2000
220;2000-08-07;7;8;2000
221;2000-08-08;8;8;2000
222;2000-08-09;9;8;2000
223;2000-08-10;10;8;2000
224;2000-08-11;11;8;2000
225;2000-08-12;12;8;2000
226;2000-08-13;13;8;2000
227;2000-08-14;14;8;2000
228;2000-08-15;15;8;2000
229;2000-08-16;16;8;2000
230;2000-08-17;17;8;2000
231;2000-08-18;18;8;2000
232;2000-08-19;19;8;2000
233;2000-08-20;20;8;2000
234;2000-08-21;21;8;2000
235;2000-08-22;22;8;2000
236;2000-08-23;23;8;2000
237;2000-08-24;24;8;2000
238;2000-08-25;25;8;2000
239;2000-08-26;26;8;2000
240;2000-08-27;27;8;2000
241;2000-08-28;28;8;2000
242;2000-08-29;29;8;2000
243;2000-08-30;30;8;2000
244;2000-08-31;31;8;2000
245;2000-09-01;1;9;2000
246;2000-09-02;2;9;2000
247;2000-09-03;3;9;2000
248;2000-09-04;4;9;2000
249;2000-09-05;5;9;2000
250;2000-09-06;6;9;2000
251;2000-09-07;7;9;2000
252;2000-09-08;8;9;2000
253;2000-09-09;9;9;2000
254;2000-09-10;10;9;2000
255;2000-09-11;11;9;2000
256;2000-09-12;12;9;2000
257;2000-09-13;13;9;2000
258;2000-09-14;14;9;2000
259;2000-09-15;15;9;2000
260;2000-09-16;16;9;2000
261;2000-09-17;17;9;2000
262;2000-09-18;18;9;2000
263;2000-09-19;19;9;2000
264;2000-09-20;20;9;2000
265;2000-09-21;21;9;2000
266;2000-09-22;22;9;2000
267;2000-09-23;23;9;2000
268;2000-09-24;24;9;2000
269;2000-09-25;25;9;2000
270;2000-09-26;26;9;2000
271;2000-09-27;27;9;2000
272;2000-09-28;28;9;2000
273;2000-09-29;29;9;2000
274;2000-09-30;30;9;2000
275;2000-10-01;1;10;2000
276;2000-10-02;2;10;2000
277;2000-10-03;3;10;2000
278;2000-10-04;4;10;2000
279;2000-10-05;5;10;2000
280;2000-10-06;6;10;2000
281;2000-10-07;7;10;2000
282;2000-10-08;8;10;2000
283;2000-10-09;9;10;2000
284;2000-10-10;10;10;2000
285;2000-10-11;11;10;2000
286;2000-10-12;12;10;2000
287;2000-10-13;13;10;2000
288;2000-10-14;14;10;2000
289;2000-10-15;15;10;2000
290;2000-10-16;16;10;2000
291;2000-10-17;17;10;2000
292;2000-10-18;18;10;2000
293;2000-10-19;19;10;2000
294;2000-10-20;20;10;2000
295;2000-10-21;21;10;2000
296;2000-10-22;22;10;2000
297;2000-10-23;23;10;2000
298;2000-10-24;24;10;2000
299;2000-10-25;25;10;2000
300;2000-10-26;26;10;2000
301;2000-10-27;27;10;2000
302;2000-10-28;28;10;2000
303;2000-10-29;29;10;2000
304;2000-10-30;30;10;2000
305;2000-10-31;31;10;2000
306;2000-11-01;1;11;2000
307;2000-11-02;2;11;2000
308;2000-11-03;3;11;2000
309;2000-11-04;4;11;2000
310;2000-11-05;5;11;2000
311;2000-11-06;6;11;2000
312;2000-11-07;7;11;2000
313;2000-11-08;8;11;2000
314;2000-11-09;9;11;2000
315;2000-11-10;10;11;2000
316;2000-11-11;11;11;2000
317;2000-11-12;12;11;2000
318;2000-11-13;13;11;2000
319;2000-11-14;14;11;2000
320;2000-11-15;15;11;2000
321;2000-11-16;16;11;2000
322;2000-11-17;17;11;2000
323;2000-11-18;18;11;2000
324;2000-11-19;19;11;2000
325;2000-11-20;20;11;2000
326;2000-11-21;21;11;2000
327;2000-11-22;22;11;2000
328;2000-11-23;23;11;2000
329;2000-11-24;24;11;2000
330;2000-11-25;25;11;2000
331;2000-11-26;26;11;2000
332;2000-11-27;27;11;2000
333;2000-11-28;28;11;2000
334;2000-11-29;29;11;2000
335;2000-11-30;30;11;2000
336;2000-12-01;1;12;2000
337;2000-12-02;2;12;2000
338;2000-12-03;3;12;2000
339;2000-12-04;4;12;2000
340;2000-12-05;5;12;2000
341;2000-12-06;6;12;2000
342;2000-12-07;7;12;2000
343;2000-12-08;8;12;2000
344;2000-12-09;9;12;2000
345;2000-12-10;10;12;2000
346;2000-12-11;11;12;2000
347;2000-12-12;12;12;2000
348;2000-12-13;13;12;2000
349;2000-12-14;14;12;2000
350;2000-12-15;15;12;2000
351;2000-12-16;16;12;2000
352;2000-12-17;17;12;2000
353;2000-12-18;18;12;2000
354;2000-12-19;19;12;2000
355;2000-12-20;20;12;2000
356;2000-12-21;21;12;2000
357;2000-12-22;22;12;2000
358;2000-12-23;23;12;2000
359;2000-12-24;24;12;2000
360;2000-12-25;25;12;2000
361;2000-12-26;26;12;2000
362;2000-12-27;27;12;2000
363;2000-12-28;28;12;2000
364;2000-12-29;29;12;2000
365;2000-12-30;30;12;2000
366;2000-12-31;31;12;2000
367;2001-01-01;1;1;2001
368;2001-01-02;2;1;2001
369;2001-01-03;3;1;2001
370;2001-01-04;4;1;2001
371;2001-01-05;5;1;2001
372;2001-01-06;6;1;2001
373;2001-01-07;7;1;2001
374;2001-01-08;8;1;2001
375;2001-01-09;9;1;2001
376;2001-01-10;10;1;2001
377;2001-01-11;11;1;2001
378;2001-01-12;12;1;2001
379;2001-01-13;13;1;2001
380;2001-01-14;14;1;2001
381;2001-01-15;15;1;2001
382;2001-01-16;16;1;2001
383;2001-01-17;17;1;2001
384;2001-01-18;18;1;2001
385;2001-01-19;19;1;2001
386;2001-01-20;20;1;2001
387;2001-01-21;21;1;2001
388;2001-01-22;22;1;2001
389;2001-01-23;23;1;2001
390;2001-01-24;24;1;2001
391;2001-01-25;25;1;2001
392;2001-01-26;26;1;2001
393;2001-01-27;27;1;2001
394;2001-01-28;28;1;2001
395;2001-01-29;29;1;2001
396;2001-01-30;30;1;2001
397;2001-01-31;31;1;2001
398;2001-02-01;1;2;2001
399;2001-02-02;2;2;2001
400;2001-02-03;3;2;2001
401;2001-02-04;4;2;2001
402;2001-02-05;5;2;2001
403;2001-02-06;6;2;2001
404;2001-02-07;7;2;2001
405;2001-02-08;8;2;2001
406;2001-02-09;9;2;2001
407;2001-02-10;10;2;2001
408;2001-02-11;11;2;2001
409;2001-02-12;12;2;2001
410;2001-02-13;13;2;2001
411;2001-02-14;14;2;2001
412;2001-02-15;15;2;2001
413;2001-02-16;16;2;2001
414;2001-02-17;17;2;2001
415;2001-02-18;18;2;2001
416;2001-02-19;19;2;2001
417;2001-02-20;20;2;2001
418;2001-02-21;21;2;2001
419;2001-02-22;22;2;2001
420;2001-02-23;23;2;2001
421;2001-02-24;24;2;2001
422;2001-02-25;25;2;2001
423;2001-02-26;26;2;2001
424;2001-02-27;27;2;2001
425;2001-02-28;28;2;2001
426;2001-03-01;1;3;2001
427;2001-03-02;2;3;2001
428;2001-03-03;3;3;2001
429;2001-03-04;4;3;2001
430;2001-03-05;5;3;2001
431;2001-03-06;6;3;2001
432;2001-03-07;7;3;2001
433;2001-03-08;8;3;2001
434;2001-03-09;9;3;2001
435;2001-03-10;10;3;2001
436;2001-03-11;11;3;2001
437;2001-03-12;12;3;2001
438;2001-03-13;13;3;2001
439;2001-03-14;14;3;2001
440;2001-03-15;15;3;2001
441;2001-03-16;16;3;2001
442;2001-03-17;17;3;2001
443;2001-03-18;18;3;2001
444;2001-03-19;19;3;2001
445;2001-03-20;20;3;2001
446;2001-03-21;21;3;2001
447;2001-03-22;22;3;2001
448;2001-03-23;23;3;2001
449;2001-03-24;24;3;2001
450;2001-03-25;25;3;2001
451;2001-03-26;26;3;2001
452;2001-03-27;27;3;2001
453;2001-03-28;28;3;2001
454;2001-03-29;29;3;2001
455;2001-03-30;30;3;2001
456;2001-03-31;31;3;2001
457;2001-04-01;1;4;2001
458;2001-04-02;2;4;2001
459;2001-04-03;3;4;2001
460;2001-04-04;4;4;2001
461;2001-04-05;5;4;2001
462;2001-04-06;6;4;2001
463;2001-04-07;7;4;2001
464;2001-04-08;8;4;2001
465;2001-04-09;9;4;2001
466;2001-04-10;10;4;2001
467;2001-04-11;11;4;2001
468;2001-04-12;12;4;2001
469;2001-04-13;13;4;2001
470;2001-04-14;14;4;2001
471;2001-04-15;15;4;2001
472;2001-04-16;16;4;2001
473;2001-04-17;17;4;2001
474;2001-04-18;18;4;2001
475;2001-04-19;19;4;2001
476;2001-04-20;20;4;2001
477;2001-04-21;21;4;2001
478;2001-04-22;22;4;2001
479;2001-04-23;23;4;2001
480;2001-04-24;24;4;2001
481;2001-04-25;25;4;2001
482;2001-04-26;26;4;2001
483;2001-04-27;27;4;2001
484;2001-04-28;28;4;2001
485;2001-04-29;29;4;2001
486;2001-04-30;30;4;2001
487;2001-05-01;1;5;2001
488;2001-05-02;2;5;2001
489;2001-05-03;3;5;2001
490;2001-05-04;4;5;2001
491;2001-05-05;5;5;2001
492;2001-05-06;6;5;2001
493;2001-05-07;7;5;2001
494;2001-05-08;8;5;2001
495;2001-05-09;9;5;2001
496;2001-05-10;10;5;2001
497;2001-05-11;11;5;2001
498;2001-05-12;12;5;2001
499;2001-05-13;13;5;2001
500;2001-05-14;14;5;2001
501;2001-05-15;15;5;2001
502;2001-05-16;16;5;2001
503;2001-05-17;17;5;2001
504;2001-05-18;18;5;2001
505;2001-05-19;19;5;2001
506;2001-05-20;20;5;2001
507;2001-05-21;21;5;2001
508;2001-05-22;22;5;2001
509;2001-05-23;23;5;2001
510;2001-05-24;24;5;2001
511;2001-05-25;25;5;2001
512;2001-05-26;26;5;2001
513;2001-05-27;27;5;2001
514;2001-05-28;28;5;2001
515;2001-05-29;29;5;2001
516;2001-05-30;30;5;2001
517;2001-05-31;31;5;2001
518;2001-06-01;1;6;2001
519;2001-06-02;2;6;2001
520;2001-06-03;3;6;2001
521;2001-06-04;4;6;2001
522;2001-06-05;5;6;2001
523;2001-06-06;6;6;2001
524;2001-06-07;7;6;2001
525;2001-06-08;8;6;2001
526;2001-06-09;9;6;2001
527;2001-06-10;10;6;2001
528;2001-06-11;11;6;2001
529;2001-06-12;12;6;2001
530;2001-06-13;13;6;2001
531;2001-06-14;14;6;2001
532;2001-06-15;15;6;2001
533;2001-06-16;16;6;2001
534;2001-06-17;17;6;2001
535;2001-06-18;18;6;2001
536;2001-06-19;19;6;2001
537;2001-06-20;20;6;2001
538;2001-06-21;21;6;2001
539;2001-06-22;22;6;2001
540;2001-06-23;23;6;2001
541;2001-06-24;24;6;2001
542;2001-06-25;25;6;2001
543;2001-06-26;26;6;2001
544;2001-06-27;27;6;2001
545;2001-06-28;28;6;2001
546;2001-06-29;29;6;2001
547;2001-06-30;30;6;2001
548;2001-07-01;1;7;2001
549;2001-07-02;2;7;2001
550;2001-07-03;3;7;2001
551;2001-07-04;4;7;2001
552;2001-07-05;5;7;2001
553;2001-07-06;6;7;2001
554;2001-07-07;7;7;2001
555;2001-07-08;8;7;2001
556;2001-07-09;9;7;2001
557;2001-07-10;10;7;2001
558;2001-07-11;11;7;2001
559;2001-07-12;12;7;2001
560;2001-07-13;13;7;2001
561;2001-07-14;14;7;2001
562;2001-07-15;15;7;2001
563;2001-07-16;16;7;2001
564;2001-07-17;17;7;2001
565;2001-07-18;18;7;2001
566;2001-07-19;19;7;2001
567;2001-07-20;20;7;2001
568;2001-07-21;21;7;2001
569;2001-07-22;22;7;2001
570;2001-07-23;23;7;2001
571;2001-07-24;24;7;2001
572;2001-07-25;25;7;2001
573;2001-07-26;26;7;2001
574;2001-07-27;27;7;2001
575;2001-07-28;28;7;2001
576;2001-07-29;29;7;2001
577;2001-07-30;30;7;2001
578;2001-07-31;31;7;2001
579;2001-08-01;1;8;2001
580;2001-08-02;2;8;2001
581;2001-08-03;3;8;2001
582;2001-08-04;4;8;2001
583;2001-08-05;5;8;2001
584;2001-08-06;6;8;2001
585;2001-08-07;7;8;2001
586;2001-08-08;8;8;2001
587;2001-08-09;9;8;2001
588;2001-08-10;10;8;2001
589;2001-08-11;11;8;2001
590;2001-08-12;12;8;2001
591;2001-08-13;13;8;2001
592;2001-08-14;14;8;2001
593;2001-08-15;15;8;2001
594;2001-08-16;16;8;2001
595;2001-08-17;17;8;2001
596;2001-08-18;18;8;2001
597;2001-08-19;19;8;2001
598;2001-08-20;20;8;2001
599;2001-08-21;21;8;2001
600;2001-08-22;22;8;2001
601;2001-08-23;23;8;2001
602;2001-08-24;24;8;2001
603;2001-08-25;25;8;2001
604;2001-08-26;26;8;2001
605;2001-08-27;27;8;2001
606;2001-08-28;28;8;2001
607;2001-08-29;29;8;2001
608;2001-08-30;30;8;2001
609;2001-08-31;31;8;2001
610;2001-09-01;1;9;2001
611;2001-09-02;2;9;2001
612;2001-09-03;3;9;2001
613;2001-09-04;4;9;2001
614;2001-09-05;5;9;2001
615;2001-09-06;6;9;2001
616;2001-09-07;7;9;2001
617;2001-09-08;8;9;2001
618;2001-09-09;9;9;2001
619;2001-09-10;10;9;2001
620;2001-09-11;11;9;2001
621;2001-09-12;12;9;2001
622;2001-09-13;13;9;2001
623;2001-09-14;14;9;2001
624;2001-09-15;15;9;2001
625;2001-09-16;16;9;2001
626;2001-09-17;17;9;2001
627;2001-09-18;18;9;2001
628;2001-09-19;19;9;2001
629;2001-09-20;20;9;2001
630;2001-09-21;21;9;2001
631;2001-09-22;22;9;2001
632;2001-09-23;23;9;2001
633;2001-09-24;24;9;2001
634;2001-09-25;25;9;2001
635;2001-09-26;26;9;2001
636;2001-09-27;27;9;2001
637;2001-09-28;28;9;2001
638;2001-09-29;29;9;2001
639;2001-09-30;30;9;2001
640;2001-10-01;1;10;2001
641;2001-10-02;2;10;2001
642;2001-10-03;3;10;2001
643;2001-10-04;4;10;2001
644;2001-10-05;5;10;2001
645;2001-10-06;6;10;2001
646;2001-10-07;7;10;2001
647;2001-10-08;8;10;2001
648;2001-10-09;9;10;2001
649;2001-10-10;10;10;2001
650;2001-10-11;11;10;2001
651;2001-10-12;12;10;2001
652;2001-10-13;13;10;2001
653;2001-10-14;14;10;2001
654;2001-10-15;15;10;2001
655;2001-10-16;16;10;2001
656;2001-10-17;17;10;2001
657;2001-10-18;18;10;2001
658;2001-10-19;19;10;2001
659;2001-10-20;20;10;2001
660;2001-10-21;21;10;2001
661;2001-10-22;22;10;2001
662;2001-10-23;23;10;2001
663;2001-10-24;24;10;2001
664;2001-10-25;25;10;2001
665;2001-10-26;26;10;2001
666;2001-10-27;27;10;2001
667;2001-10-28;28;10;2001
668;2001-10-29;29;10;2001
669;2001-10-30;30;10;2001
670;2001-10-31;31;10;2001
671;2001-11-01;1;11;2001
672;2001-11-02;2;11;2001
673;2001-11-03;3;11;2001
674;2001-11-04;4;11;2001
675;2001-11-05;5;11;2001
676;2001-11-06;6;11;2001
677;2001-11-07;7;11;2001
678;2001-11-08;8;11;2001
679;2001-11-09;9;11;2001
680;2001-11-10;10;11;2001
681;2001-11-11;11;11;2001
682;2001-11-12;12;11;2001
683;2001-11-13;13;11;2001
684;2001-11-14;14;11;2001
685;2001-11-15;15;11;2001
686;2001-11-16;16;11;2001
687;2001-11-17;17;11;2001
688;2001-11-18;18;11;2001
689;2001-11-19;19;11;2001
690;2001-11-20;20;11;2001
691;2001-11-21;21;11;2001
692;2001-11-22;22;11;2001
693;2001-11-23;23;11;2001
694;2001-11-24;24;11;2001
695;2001-11-25;25;11;2001
696;2001-11-26;26;11;2001
697;2001-11-27;27;11;2001
698;2001-11-28;28;11;2001
699;2001-11-29;29;11;2001
700;2001-11-30;30;11;2001
701;2001-12-01;1;12;2001
702;2001-12-02;2;12;2001
703;2001-12-03;3;12;2001
704;2001-12-04;4;12;2001
705;2001-12-05;5;12;2001
706;2001-12-06;6;12;2001
707;2001-12-07;7;12;2001
708;2001-12-08;8;12;2001
709;2001-12-09;9;12;2001
710;2001-12-10;10;12;2001
711;2001-12-11;11;12;2001
712;2001-12-12;12;12;2001
713;2001-12-13;13;12;2001
714;2001-12-14;14;12;2001
715;2001-12-15;15;12;2001
716;2001-12-16;16;12;2001
717;2001-12-17;17;12;2001
718;2001-12-18;18;12;2001
719;2001-12-19;19;12;2001
720;2001-12-20;20;12;2001
721;2001-12-21;21;12;2001
722;2001-12-22;22;12;2001
723;2001-12-23;23;12;2001
724;2001-12-24;24;12;2001
725;2001-12-25;25;12;2001
726;2001-12-26;26;12;2001
727;2001-12-27;27;12;2001
728;2001-12-28;28;12;2001
729;2001-12-29;29;12;2001
730;2001-12-30;30;12;2001
731;2001-12-31;31;12;2001
732;2002-01-01;1;1;2002
733;2002-01-02;2;1;2002
734;2002-01-03;3;1;2002
735;2002-01-04;4;1;2002
736;2002-01-05;5;1;2002
737;2002-01-06;6;1;2002
738;2002-01-07;7;1;2002
739;2002-01-08;8;1;2002
740;2002-01-09;9;1;2002
741;2002-01-10;10;1;2002
742;2002-01-11;11;1;2002
743;2002-01-12;12;1;2002
744;2002-01-13;13;1;2002
745;2002-01-14;14;1;2002
746;2002-01-15;15;1;2002
747;2002-01-16;16;1;2002
748;2002-01-17;17;1;2002
749;2002-01-18;18;1;2002
750;2002-01-19;19;1;2002
751;2002-01-20;20;1;2002
752;2002-01-21;21;1;2002
753;2002-01-22;22;1;2002
754;2002-01-23;23;1;2002
755;2002-01-24;24;1;2002
756;2002-01-25;25;1;2002
757;2002-01-26;26;1;2002
758;2002-01-27;27;1;2002
759;2002-01-28;28;1;2002
760;2002-01-29;29;1;2002
761;2002-01-30;30;1;2002
762;2002-01-31;31;1;2002
763;2002-02-01;1;2;2002
764;2002-02-02;2;2;2002
765;2002-02-03;3;2;2002
766;2002-02-04;4;2;2002
767;2002-02-05;5;2;2002
768;2002-02-06;6;2;2002
769;2002-02-07;7;2;2002
770;2002-02-08;8;2;2002
771;2002-02-09;9;2;2002
772;2002-02-10;10;2;2002
773;2002-02-11;11;2;2002
774;2002-02-12;12;2;2002
775;2002-02-13;13;2;2002
776;2002-02-14;14;2;2002
777;2002-02-15;15;2;2002
778;2002-02-16;16;2;2002
779;2002-02-17;17;2;2002
780;2002-02-18;18;2;2002
781;2002-02-19;19;2;2002
782;2002-02-20;20;2;2002
783;2002-02-21;21;2;2002
784;2002-02-22;22;2;2002
785;2002-02-23;23;2;2002
786;2002-02-24;24;2;2002
787;2002-02-25;25;2;2002
788;2002-02-26;26;2;2002
789;2002-02-27;27;2;2002
790;2002-02-28;28;2;2002
791;2002-03-01;1;3;2002
792;2002-03-02;2;3;2002
793;2002-03-03;3;3;2002
794;2002-03-04;4;3;2002
795;2002-03-05;5;3;2002
796;2002-03-06;6;3;2002
797;2002-03-07;7;3;2002
798;2002-03-08;8;3;2002
799;2002-03-09;9;3;2002
800;2002-03-10;10;3;2002
801;2002-03-11;11;3;2002
802;2002-03-12;12;3;2002
803;2002-03-13;13;3;2002
804;2002-03-14;14;3;2002
805;2002-03-15;15;3;2002
806;2002-03-16;16;3;2002
807;2002-03-17;17;3;2002
808;2002-03-18;18;3;2002
809;2002-03-19;19;3;2002
810;2002-03-20;20;3;2002
811;2002-03-21;21;3;2002
812;2002-03-22;22;3;2002
813;2002-03-23;23;3;2002
814;2002-03-24;24;3;2002
815;2002-03-25;25;3;2002
816;2002-03-26;26;3;2002
817;2002-03-27;27;3;2002
818;2002-03-28;28;3;2002
819;2002-03-29;29;3;2002
820;2002-03-30;30;3;2002
821;2002-03-31;31;3;2002
822;2002-04-01;1;4;2002
823;2002-04-02;2;4;2002
824;2002-04-03;3;4;2002
825;2002-04-04;4;4;2002
826;2002-04-05;5;4;2002
827;2002-04-06;6;4;2002
828;2002-04-07;7;4;2002
829;2002-04-08;8;4;2002
830;2002-04-09;9;4;2002
831;2002-04-10;10;4;2002
832;2002-04-11;11;4;2002
833;2002-04-12;12;4;2002
834;2002-04-13;13;4;2002
835;2002-04-14;14;4;2002
836;2002-04-15;15;4;2002
837;2002-04-16;16;4;2002
838;2002-04-17;17;4;2002
839;2002-04-18;18;4;2002
840;2002-04-19;19;4;2002
841;2002-04-20;20;4;2002
842;2002-04-21;21;4;2002
843;2002-04-22;22;4;2002
844;2002-04-23;23;4;2002
845;2002-04-24;24;4;2002
846;2002-04-25;25;4;2002
847;2002-04-26;26;4;2002
848;2002-04-27;27;4;2002
849;2002-04-28;28;4;2002
850;2002-04-29;29;4;2002
851;2002-04-30;30;4;2002
852;2002-05-01;1;5;2002
853;2002-05-02;2;5;2002
854;2002-05-03;3;5;2002
855;2002-05-04;4;5;2002
856;2002-05-05;5;5;2002
857;2002-05-06;6;5;2002
858;2002-05-07;7;5;2002
859;2002-05-08;8;5;2002
860;2002-05-09;9;5;2002
861;2002-05-10;10;5;2002
862;2002-05-11;11;5;2002
863;2002-05-12;12;5;2002
864;2002-05-13;13;5;2002
865;2002-05-14;14;5;2002
866;2002-05-15;15;5;2002
867;2002-05-16;16;5;2002
868;2002-05-17;17;5;2002
869;2002-05-18;18;5;2002
870;2002-05-19;19;5;2002
871;2002-05-20;20;5;2002
872;2002-05-21;21;5;2002
